,subsizes,<S>,<S^2>,<S>_typ,<S>_deg,<S>_all
0,1,0.42270908780599115,0.0,0.0,0.021135454390299516,0.42270908780599115
1,2,0.7904657763931261,0.0023670095658564483,0.0,0.04026509829734205,0.7903854868051411
2,3,1.0925898192634085,0.009460431979729123,0.0,0.05584022399204737,1.09220557656915
3,4,1.3329222579853606,0.01828929908674448,0.0,0.0687592202195291,1.332144531403752
4,5,1.5254094705791583,0.028427152985310844,0.0,0.07964262387631389,1.5243005664102245
5,6,1.6769450820045282,0.03901774487534704,0.0,0.08878109913988945,1.6755733809180213
6,7,1.7914074831327629,0.04878276927891845,0.0,0.09556404067753954,1.7898381906785121
7,8,1.8715105449936504,0.05702936005088377,0.0,0.10008715325792557,1.869784204294978
8,9,1.918866782553012,0.06268267262264482,0.0,0.10275065904135927,1.9170433433683796
9,10,1.934550361329343,0.06481676418925053,0.0,0.10377637329078572,1.9326893844203406
